title,price,description,images,video,colors,sizes,currency,status
Sample T-Shirt,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/01___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
Premium Dress,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/02___KONICA.jpg,https://example.com/dress-video.mp4,black,"M,L,XL,XXL",INR,ACTIVE
Simple Polo,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/04___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/05___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/06___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/07___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/08___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/09___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/10___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/110___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/111___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/116___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/11___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/12___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/13___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/14___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/15___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/168___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/16___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/17___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/18___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/196___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/206___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/20___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/22___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/22___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/23___KONICA(1).jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/23___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/25___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/26___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/28___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/316___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/31___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/320___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/333___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/34___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/36___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/40___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/42___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/43___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/44___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/45___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/48___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/60___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/62___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/70___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/79___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look들deal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/80___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
